0	x o ŋ͡m 1
cải	k a j 4
calo	k a ' 5   l o ʊ ' 1
cam	k a m 1
cám	k a m 5
câm	k ɤ̆ m 1
căm	k ă m 1
cấm	k ɤ̆ m 5
cầm	k ɤ̆ m 2
cắm	k ă m 5
cằm	k ă m 2
cẫm	k ɤ̆ m 3
cảm	k a m 4
cẩm	k ɤ̆ m 4
cạm	k a m 6
cặm	k ă m 6
can	k a n 1
cán	k a n 5
càn	k a n 2
cân	k ɤ̆ n 1
căn	k ă n 1
cấn	k ɤ̆ n 5
cần	k ɤ̆ n 2
cắn	k ă n 5
cằn	k ă n 2
cẫn	k ɤ̆ n 3
cản	k a n 4
cẩn	k ɤ̆ n 4
cẳn	k ă n 4
cạn	k a n 6
cận	k ɤ̆ n 6
cặn	k ă n 6
cang	k a ŋ 1
cáng	k a ŋ 5
càng	k a ŋ 2
câng	k ɤ̆ ŋ 1
căng	k ă ŋ 1
cằng	k ă ŋ 2
cẫng	k ɤ̆ ŋ 3
cẵng	k ă ŋ 3
cảng	k a ŋ 4
cẳng	k ă ŋ 4
canh	k ɛ ɲ 1
cánh	k ɛ ɲ 5
cành	k ɛ ɲ 2
cảnh	k ɛ ɲ 4
cạnh	k ɛ ɲ 6
cao	k a w 1
cáo	k a w 5
cào	k a w 2
cảo	k a w 4
cạo	k a w 6
cáp	k a p 5
cấp	k ɤ̆ p 5
cắp	k ă p 5
cạp	k a p 6
cập	k ɤ̆ p 6
cặp	k ă p 6
casino	k ə ' 1   s i ' 5   n o ʊ ' 1
cát	k a t 5
cất	k ɤ̆ t 5
cắt	k ă t 5
cạt	k a t 6
cật	k ɤ̆ t 6
cặt	k ă t 6
cau	k ă w 1
cáu	k ă w 5
càu	k ă w 2
câu	k ɤ̆ w 1
cấu	k ɤ̆ w 5
cầu	k ɤ̆ w 2
cảu	k ă w 4
cẩu	k ɤ̆ w 4
cạu	k ă w 6
cậu	k ɤ̆ w 6
caught	k a t ' 5
cay	k ă j 1
cáy	k ă j 5
cày	k ă j 2
cây	k ɤ̆ j 1
cấy	k ɤ̆ j 5
cầy	k ɤ̆ j 2
cảy	k ă j 4
cẩy	k ɤ̆ j 4
cạy	k ă j 6
cậy	k ɤ̆ j 6
cha	c a 1
chá	c a 5
chà	c a 2
chã	c a 3
chả	c a 4
chạ	c a 6
chác	c a k 5
chắc	c ă k 5
chạc	c a k 6
chậc	c ɤ̆ k 6
chặc	c ă k 6
chạch	c a tʃ 6
chai	c a j 1
chái	c a j 5
chài	c a j 2
chãi	c a j 3
chải	c a j 4
chàm	c a m 2
châm	c ɤ̆ m 1
chăm	c ă m 1
chấm	c ɤ̆ m 5
chầm	c ɤ̆ m 2
chắm	c ă m 5
chằm	c ă m 2
chẩm	c ɤ̆ m 4
chạm	c a m 6
chậm	c ɤ̆ m 6
chặm	c ă m 6
chan	c a n 1
chán	c a n 5
chân	c ɤ̆ n 1
chăn	c ă n 1
chấn	c ɤ̆ n 5
chần	c ɤ̆ n 2
chắn	c ă n 5
chằn	c ă n 2
chẵn	c ă n 3
chẩn	c ɤ̆ n 4
chẳn	c ă n 4
chạn	c a n 6
chận	c ɤ̆ n 6
chặn	c ă n 6
chang	c a ŋ 1
cháng	c a ŋ 5
chàng	c a ŋ 2
chăng	c ă ŋ 1
chằng	c ă ŋ 2
chẳng	c ă ŋ 4
chạng	c a ŋ 6
chặng	c ă ŋ 6
chanh	c ɛ ɲ 1
chánh	c ɛ ɲ 5
chành	c ɛ ɲ 2
chảnh	c ɛ ɲ 4
chạnh	c ɛ ɲ 6
chao	c a w 1
cháo	c a w 5
chào	c a w 2
chão	c a w 3
chảo	c a w 4
chạo	c a w 6
chấp	c ɤ̆ p 5
chắp	c ă p 5
chạp	c a p 6
chập	c ɤ̆ p 6
chặp	c ă p 6
chát	c a t 5
chất	c ɤ̆ t 5
chắt	c ă t 5
chạt	c a t 6
chật	c ɤ̆ t 6
chặt	c ă t 6
chau	c ă w 1
cháu	c ă w 5
châu	c ɤ̆ w 1
chấu	c ɤ̆ w 5
chầu	c ɤ̆ w 2
chẫu	c ɤ̆ w 3
chảu	c ă w 4
chẩu	c ɤ̆ w 4
chậu	c ɤ̆ w 6
chay	c ă j 1
cháy	c ă j 5
chày	c ă j 2
chây	c ɤ̆ j 1
chấy	c ɤ̆ j 5
chầy	c ɤ̆ j 2
chảy	c ă j 4
chạy	c ă j 6
che	c ɛ 1
ché	c ɛ 5
chè	c ɛ 2
chê	c e 1
chẽ	c ɛ 3
chế	c e 5
chề	c e 2
chẻ	c ɛ 4
chệ	c e 6
chếch	c e tʃ 5
chệch	c e tʃ 6
chem	c ɛ m 1
chém	c ɛ m 5
chèm	c ɛ m 2
chêm	c e m 1
chềm	c e m 2
chễm	c e m 3
chẻm	c ɛ m 4
chen	c ɛ n 1
chén	c ɛ n 5
chèn	c ɛ n 2
chẽn	c ɛ n 3
chẻn	c ɛ n 4
chẹn	c ɛ n 6
chện	c e n 6
cheng	c ɛ ŋ 1
chênh	c e ɲ 1
chếnh	c e ɲ 5
chềnh	c e ɲ 2
chễnh	c e ɲ 3
chểnh	c e ɲ 4
chệnh	c e ɲ 6
cheo	c eo 1
chéo	c eo 5
chèo	c eo 2
chẻo	c eo 4
chẹo	c eo 6
chép	c ɛ p 5
chẹp	c ɛ p 6
chét	c ɛ t 5
chết	c e t 5
chẹt	c ɛ t 6
chi	c i 1
chí	c i 5
chì	c i 2
chỉ	c i 4
chị	c i 6
chia	c iə 1
chìa	c iə 2
chĩa	c iə 3
chịa	c iə 6
chích	c i tʃ 5
chiếc	c iə k 5
chiêm	c iə m 1
chiếm	c iə m 5
chiên	c iə n 1
chiến	c iə n 5
chiền	c iə n 2
chiện	c iə n 6
chiêng	c iə ŋ 1
chiếng	c iə ŋ 5
chiềng	c iə ŋ 2
chiếp	c iə p 5
chiết	c iə t 5
chiêu	c iə w 1
chiếu	c iə w 5
chiều	c iə w 2
chiểu	c iə w 4
chim	c i m 1
chím	c i m 5
chìm	c i m 2
chín	c i n 5
chĩn	c i n 3
chỉn	c i n 4
chinh	c i ɲ 1
chính	c i ɲ 5
chình	c i ɲ 2
chĩnh	c i ɲ 3
chỉnh	c i ɲ 4
chíp	c i p 5
chít	c i t 5
chịt	c i t 6
chiu	c i w 1
chíu	c i w 5
chìu	c i w 2
chịu	c i w 6
cho	c ɔ 1
chó	c ɔ 5
chò	c ɔ 2
chõ	c ɔ 3
chồ	c o 2
chỗ	c o 3
chỏ	c ɔ 4
chơ	c ɤ 1
chọ	c ɔ 6
chớ	c ɤ 5
chờ	c ɤ 2
chộ	c o 6
chở	c ɤ 4
chợ	c ɤ 6
choá	c ɔ 1   a 5
chóa	cw ʷa 5
choạc	cw ʷa k 6
choai	cw a j 1
choái	cw a j 5
choài	cw a j 2
choãi	cw a j 3
choán	cw ʷa n 5
choăn	cw ʷă n 1
choang	cw ʷa ŋ 1
choáng	cw ʷa ŋ 5
choàng	cw ʷa ŋ 2
choảng	cw ʷa ŋ 4
choạng	cw ʷa ŋ 6
choạp	cw ʷa p 6
choắt	cw ʷă t 5
chóc	c ɔ k͡p 5
chốc	c o k͡p 5
chọc	c ɔ k͡p 6
choé	cw ʷɛ 5
chóe	cw ʷɛ 5
chọe	cw ʷɛ 6
choèn	cw ʷɛ n 2
choẹt	cw ʷɛ t 6
choi	c ɔ j 1
chói	c ɔ j 5
chòi	c ɔ j 2
chõi	c ɔ j 3
chối	c o j 5
chồi	c o j 2
chỏi	c ɔ j 4
chơi	c ɤ j 1
chổi	c o j 4
chọi	c ɔ j 6
chới	c ɤ j 5
chội	c o j 6
chòm	c ɔ m 2
chôm	c o m 1
chõm	c ɔ m 3
chồm	c o m 2
chỗm	c o m 3
chỏm	c ɔ m 4
chơm	c ɤ m 1
chớm	c ɤ m 5
chờm	c ɤ m 2
chởm	c ɤ m 4
chon	c ɔ n 1
chôn	c o n 1
chốn	c o n 5
chồn	c o n 2
chỏn	c ɔ n 4
chơn	c ɤ n 1
chọn	c ɔ n 6
chờn	c ɤ n 2
chộn	c o n 6
chợn	c ɤ n 6
chong	c ɔ ŋ͡m 1
chóng	c ɔ ŋ͡m 5
chòng	c ɔ ŋ͡m 2
chông	c o ŋ͡m 1
chõng	c ɔ ŋ͡m 3
chống	c o ŋ͡m 5
chồng	c o ŋ͡m 2
chỏng	c ɔ ŋ͡m 4
chổng	c o ŋ͡m 4
choòng	c ɔ ŋ͡m 2
chòong	c ɔ ŋ͡m 2
chóp	c ɔ p 5
chốp	c o p 5
chớp	c ɤ p 5
chộp	c o p 6
chợp	c ɤ p 6
chót	c ɔ t 5
chốt	c o t 5
chọt	c ɔ t 6
chớt	c ɤ t 5
chột	c o t 6
chợt	c ɤ t 6
chu	c u 1
chú	c u 5
chù	c u 2
chủ	c u 4
chư	c ɯ 1
chứ	c ɯ 5
chừ	c ɯ 2
chữ	c ɯ 3
chua	c uə 1
chúa	c uə 5
chùa	c uə 2
chưa	c ɯə 1
chứa	c ɯə 5
chừa	c ɯə 2
chữa	c ɯə 3
chửa	c ɯə 4
chuẩn	cw ʷɤ̆ n 4
chúc	c u k͡p 5
chục	c u k͡p 6
chức	c ɯ k 5
chực	c ɯ k 6
chuếch	cw ʷe tʃ 5
chuệch	cw ʷe tʃ 6
chui	c u j 1
chúi	c u j 5
chùi	c u j 2
chũi	c u j 3
chửi	c ɯ j 4
chum	c u m 1
chúm	c u m 5
chùm	c u m 2
chũm	c u m 3
chụm	c u m 6
chun	c u n 1
chùn	c u n 2
chũn	c u n 3
chủn	c u n 4
chưn	c ɯ n 1
chung	c u ŋ͡m 1
chúng	c u ŋ͡m 5
chùng	c u ŋ͡m 2
chủng	c u ŋ͡m 4
chưng	c ɯ ŋ 1
chứng	c ɯ ŋ 5
chừng	c ɯ ŋ 2
chững	c ɯ ŋ 3
chửng	c ɯ ŋ 4
chuốc	c uə k 5
chuộc	c uə k 6
chước	c ɯə k 5
chược	c ɯə k 6
chuôi	c uə j 1
chuối	c uə j 5
chuồi	c uə j 2
chuỗi	c uə j 3
chuội	c uə j 6
chưởi	c ɯə j 4
chuôm	c uə m 1
chườm	c ɯə m 2
chuồn	c uə n 2
chuông	c uə ŋ 1
chuồng	c uə ŋ 2
chuộng	c uə ŋ 6
chương	c ɯə ŋ 1
chướng	c ɯə ŋ 5
chường	c ɯə ŋ 2
chưỡng	c ɯə ŋ 3
chưởng	c ɯə ŋ 4
chượp	c ɯə p 6
chuốt	c uə t 5
chuột	c uə t 6
chụp	c u p 6
chút	c u t 5
chụt	c u t 6
chùy	c u j 2
chuyên	cw ʷiə n 1
chuyến	cw ʷiə n 5
chuyền	cw ʷiə n 2
chuyển	cw ʷiə n 4
chuyện	cw ʷiə n 6
co	k ɔ 1
có	k ɔ 5
cò	k ɔ 2
cô	k o 1
cố	k o 5
cồ	k o 2
cỗ	k o 3
cỏ	k ɔ 4
cơ	k ɤ 1
cổ	k o 4
cọ	k ɔ 6
cớ	k ɤ 5
cờ	k ɤ 2
cỡ	k ɤ 3
cộ	k o 6
cóc	k ɔ k͡p 5
cốc	k o k͡p 5
cọc	k ɔ k͡p 6
cộc	k o k͡p 6
coca	k o ʊ ' 5   k ə ' 1
coi	k ɔ j 1
cói	k ɔ j 5
còi	k ɔ j 2
côi	k o j 1
cõi	k ɔ j 3
cối	k o j 5
cồi	k o j 2
cỗi	k o j 3
cỏi	k ɔ j 4
cơi	k ɤ j 1
